Sno,Brand,Category,Product_type,Product_Name,Product_code,Price
307,BIBA,Women,Kurta,BLACK POLY VISCOSE STRAIGHT PRINTED 2 PIECE SET,JMWAR2120AW23BLK,"₹3,599"
308,BIBA,Women,Kurta,BERRY POLYESTER STRAIGHT PRINTED 2 PIECE SET,WHIMSICA2121AW23BERY,"₹5,995"
309,BIBA,Women,Kurta,ROHIT BAL BLACK SILK & COTTON STRAIGHT KURTA SUIT SET,CKD8185SS23BLK,"₹7,950"
310,BIBA,Women,Kurta,SAGE GREEN RAYON GATHERED KURTA PALAZZO SUIT SET,SKDASRTD7518SS23SAGEGRN,"₹3,999"
311,BIBA,Women,Kurta,ONION PINK & MUSTARD LIVA KALIDAR KURTA CHURI SALWAR SUIT SET,SKDSVN8877AW23ONIPNKMST,"₹4,995"
312,BIBA,Women,Kurta,BEIGE POLYESTER STRAIGHT KURTA PALAZZO SUIT SET,SKDLNERC8894AW23BEG,"₹3,999"
313,BIBA,Women,Kurta,BEIGE COTTON BLEND STRAIGHT KURTA PALAZZO SUIT SET,SKDPHULKARI8481SS23BEG,"₹7,995"
314,BIBA,Women,Kurta,SAP GREEN COTTON STRAIGHT KURTA SLIM PANTS SUIT SET,SKDGLSTA8951AW23SAPGRN,"₹2,999"
315,BIBA,Women,Kurta,RED & OFF WHITE COTTON BLEND STRAIGHT KURTA SUIT SET,SKDKINARI8613SS23REDOWHT,"₹10,950"
316,BIBA,Women,Kurta,AQUA COTTON GATHERED KURTA PALAZZO SUIT SET,SKDPHULWARI8666SS23AQU,"₹9,995"
317,BIBA,Women,Kurta,OFF WHITE COTTON ANARKALI KURTA CHURIDAR SUIT SET,SKDSHWETSA8635SS23OWHT,"₹6,500"
318,BIBA,Women,Kurta,OFF WHITE COTTON ANARKALI KURTA SKIRT SUIT SET,SKDKNRI8927AW23OWHT,"₹19,950"
319,BIBA,Women,Kurta,SEA GREEN POLYESTER STRAIGHT KURTA SALWAR SUIT SET,SKDASRTD8611AW23SEAGRN,"₹7,500"
320,BIBA,Women,Kurta,YELLOW COTTON STRAIGHT EMBROIDERED KURTA SLIM PANT SUIT SET,SKDPARSIGA8889AW23YEL,"₹5,995"
321,BIBA,Women,Kurta,RUST SILK BLEND STRAIGHT YARNDYED KURTA PALAZZO SUIT SET,SKDBNRSI8969AW23RUST,"₹10,950"
322,BIBA,Women,Kurta,FUCHSIA VISCOSE STRAIGHT KURTA SALWAR SUIT SET,SKDBNRSI8848AW23FUS,"₹8,995"
323,BIBA,Women,Kurta,CORAL COTTON STRAIGHT KURTA PANT SUIT SET,SKDASRTD8825AW23CRL,"₹3,599"
324,BIBA,Women,Kurta,ROHIT BAL BLACK COTTON SILK ANARKALI PRINTED SUIT SET,CKD9344AW23BLK,"₹19,950"
325,BIBA,Women,Kurta,INDIGO LIVA STRAIGHT KURTA SLIM PANT SUIT SET,SKDASRTD8846AW23IND,"₹2,999"
326,BIBA,Women,Kurta,PLUM POLYESTER STRAIGHT 2 PIECE SET,SKDASRTD9114AW23PLUM,"₹6,995"
327,BIBA,Women,Kurta,PURPLE POLYESTER STRAIGHT PRINTED KURTA GARARA SUIT SET,SKDPSHNA9038AW23PUR,"₹5,995"
328,BIBA,Women,Kurta,LIME GREEN VISCOSE BROCADE STRAIGHT KURTA PALAZZO SUIT SET,SKDBNRSI8969AW23LIMGRN,"₹10,950"
329,BIBA,Women,Kurta,INDIGO COTTON BLEND KALIDAR PRINTED KURTA PALAZZO SUIT SET,SKDBNRSI8905AW23IND,"₹6,995"
330,BIBA,Women,Kurta,NAVY COTTON STRAIGHT YARNDYED 2 PIECE SET,WRKWR2089AW23NVY,"₹3,299"
331,BIBA,Women,Kurta,RED CHANDERI STRAIGHT KURTA SUIT SET,SKDASRTD8866AW23RED,"₹7,995"
332,BIBA,Women,Kurta,PINK & PURPLE MODAL PRINTED 2 PIECE SET,PANTST2201AW23PUR,"₹3,599"
333,BIBA,Women,Kurta,BLUSH PINK COTTON ANARKALI KURTA LEHENGA SET,SKD5876AW23BLSHPNK,"₹15,950"
334,BIBA,Women,Kurta,PINK COTTON ANARKALI KURTA CHURIDAR SUIT SET,SKD7769AW23PNK,"₹3,999"
335,BIBA,Women,Kurta,SAP GREEN COTTON ANARKALI KURTA CHURIDAR SUIT SET,SKDKLMKR9003AW23SAPGRN,"₹4,995"
336,BIBA,Women,Kurta,BLACK POLY COTTON STRAIGHT KURTA GARARA SUIT SET,SKDGLDMUR9144AW23BLK,"₹5,995"
337,BIBA,Women,Kurta,ONION PINK COTTON ANARKALI KURTA CHURIDAR SUIT SET,SKDKLMKR9003AW23ONIPNK,"₹4,995"
338,BIBA,Women,Kurta,PEACOCK GREEN MODAL STRAIGHT KURTA SLIM PANT SUIT SET,SKD9138AW23PCKGRN,"₹3,999"
339,BIBA,Women,Kurta,YELLOW POLY VISCOSE STRAIGHT KURTA SKIRT SUIT SET,SKDASRTD9128AW23YEL,"₹6,995"
340,BIBA,Women,Kurta,MUSTARD POLY CHANDERI STRAIGHT EMBROIDERY KURTA PALAZZO SUIT SET,SKDMARODI8988AW23MUST,"₹7,995"
341,BIBA,Women,Kurta,CHARCOAL LIVA STRAIGHT KURTA PALAZZO SUIT SET,SKDASRTD8828AW23CHAR,"₹3,299"
342,BIBA,Women,Kurta,ROHIT BAL OFF WHITE COTTON SILK STRAIGHT PRINTED KURTA SET,CKD9346AW23OWHT,"₹6,995"
343,BIBA,Women,Kurta,GREEN POLYESTER PRINTED 2 PIECE SET,SKIRTSE2189AW23GRN,"₹4,599"
344,BIBA,Women,Kurta,BLUE COTTON STRAIGHT KURTA PANT SUIT SET,SKDASRTD8825AW23BLU,"₹3,599"
345,BIBA,Women,Kurta,SLATE BLUE LIVA STRAIGHT SOLID 2 PIECE SET,AWADHCOLL2110AW23SLATEBLU,"₹4,599"
346,BIBA,Women,Kurta,TURQUOISE COTTON STRAIGHT KURTA LEHENGA SET,SKDASRTD9040AW23TURQ,"₹8,500"
347,BIBA,Women,Kurta,TEAL POLYESTER STRAIGHT KURTA GARARA SUIT SET,SKDSTRA8982AW23TEAL,"₹5,995"
348,BIBA,Women,Kurta,RED RAYON STRAIGHT KURTA SALWAR SUIT SET,SKDZARDOZI8922AW23RED,"₹10,950"
349,BIBA,Women,Kurta,OFF WHITE POLYESTER SHORT KURTA SHARARA SUIT SET,SKDOCSWR9363AW23OWHT,"₹15,950"
350,BIBA,Women,Kurta,YELLOW POLYESTER STRAIGHT KURTA LEHENGA SET,SKDRANG8915AW23YEL,"₹12,950"
351,BIBA,Women,Kurta,YELLOW COTTON GATHERED KURTA PALAZZO SUIT SET,SKDPHULWARI8703SS23YEL,"₹12,950"
352,BIBA,Women,Kurta,PINK LIVA STRAIGHT KURTA NARROW PALAZZO SUIT SET,SKDASRTD9024AW23PNK,"₹3,599"
353,BIBA,Women,Kurta,MANGO COTTON BLEND STRAIGHT KURTA PALAZZO SUIT SET,SKDKRN8467SS23MAN,"₹16,950"
354,BIBA,Women,Kurta,EARTHY BLUE COTTON SILK STRAIGHT KURTA PALAZZO SUIT SET,SKDMARODI8988AW23ERTHYBLU,"₹7,995"
