Sno,Wear_type,Material_type,Reviews,color1,color2
218,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",White Pink,Turquoise
219,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Offwhite,--------
220,"Kurta, Palazzo",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink-Purple,Red
221,"Kurta, Palazzo",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Green,--------
222,"Kurta, Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Teal,Fuschia
223,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Indigo,--------
224,"Kurta, Palazzo",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink-Purple,Red
225,"Kurta, Garara, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink,--------
226,"Kurta, Pant",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Yellow,--------
227,"Kurta, Palazzo",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Lilac,--------
228,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Black,--------
229,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",White Pink,Turquoise
230,"Kurta, Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Blush Pink,Powder Blue
231,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Peach,--------
232,"Kurta, Pant, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Coral,--------
233,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Powder Blue,Pink
234,"Kurta, Pant, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Offwhite,--------
235,"Kurta, Churidar, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Offwhite,--------
236,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink,--------
237,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Coral,Indigo
238,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Indigo,--------
239,"Kurta, Pant",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Orange,--------
240,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Fuschia,Cream
241,"Kurta, Palazzo",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink-Purple,Red
242,"Kurta, Palazzo, Dupatta, Potli",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Fuschia,Cream
243,"Kurta, Churidar, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Powder Blue,--------
244,"Kurta, Straight Palazzo",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Blue,--------
245,"Kurta, Churidar, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Violet,Red
246,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Beige,Turquoise
247,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Ice Blue,Pink
248,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",White Grey,--------
249,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Blush Pink,Powder Blue
250,"Kurta, Bottom, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Dusty Pink,--------
251,"Kurta, Palazzo",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink-Purple,Yellow
252,"Kurta, Palazzo",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Lime Green,Turquoise
253,"Kurta, Palazzo",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Lime Green,Turquoise
254,"Kurta, Palazzo",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink-Purple,Yellow
255,"Kurta, Pant",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Grey,--------
256,"Kurta, Palazzo",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Green,--------
257,"Kurta, Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Green,--------
258,"Kurta, Pant",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink,--------
259,"Kurta, Palazzo, Scarf",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Green,--------
260,"Kurta, Palazzo",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Green,--------
261,"Kurta, Palazzo",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink-Purple,Yellow
262,"Kurta, Straight Palazzo",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Blue,--------
263,"Kurta, Pant",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Yellow,--------
264,"Kurta, Slim Pant, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Khaki,Pink
265,"Kurta, Churidar, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",White Pink,Sape Green
266,,A-Line,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Sea Green,--------
267,"Kurta, Skirt, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Off White,--------
268,"Kurta, Skirt, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Red-Offwhite,--------
269,"Kurta, Salwar Pant, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Sape Green,--------
270,"Kurta, Straight Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Earthy Peach,--------
271,"Kurta, Inner, Cuffed Salwar, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Bright Pink,Sky Blue
272,"Kurta, Straight Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Orange,Beige
273,"Kurta, Straight Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Orange,Beige
274,"Kurta, Straight Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Aqua Blue,--------
275,"Kurta, Slim Pant, Stole",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Sape Green,Pink
276,,,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Off White,Turquoise
277,"Kurta, Inner, Churidar, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Off White,Turquoise
278,"Kurta, Churidar, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Navy Blue,--------
279,,,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pastel Blue,Ivory
280,"Kurta, Slim Pant, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Indigo,--------
281,"Kurta, Churidar, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pastel Blue,Ivory
282,"Kurta, Slim Pant, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Yellow,--------
283,"Kurta, Garara, Dupatta, Mask",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Light Blue,--------
284,"Kurta, Straight Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Sage Green,Black
285,"Kurta, Inner, Cuffed Salwar, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Bright Pink,Sky Blue
286,"Kurta, Inner, Churidar, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Coral,--------
287,,,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink,--------
