Sno,Wear_type,Material_type,Reviews,color1,color2
117,Kurta Pajama,--------,674 people have viewed the product recently,--------,
118,Kurta Pajama,--------,674 people have viewed the product recently,--------,
119,Kurta Pajama,,674 people have viewed the product recently,,
120,Kurta Pajama,,124 people have viewed the product recently,,
121,Kurta Pajama,--------,--------,--------,
122,Kurta Pajama,,674 people have viewed the product recently,,
123,Kurta Pajama,--------,--------,--------,
124,Kurta Pajama,--------,674 people have viewed the product recently,--------,
125,Kurta Pajama,,674 people have viewed the product recently,,
126,Kurta Pajama,--------,--------,--------,
127,Kurta Pajama,--------,--------,--------,
128,Kurta Pajama,,674 people have viewed the product recently,,
129,Kurta Pajama,--------,--------,--------,
130,Kurta Pajama,--------,--------,--------,
131,Kurta Pajama,--------,--------,--------,
132,Kurta Pajama,--------,674 people have viewed the product recently,--------,
133,Kurta Pajama,--------,674 people have viewed the product recently,--------,
134,Kurta Pajama,--------,--------,--------,
135,Kurta Pajama,,674 people have viewed the product recently,,--------
136,Kurta Pajama,,124 people have viewed the product recently,,--------
137,Kurta Pajama,,672 people have viewed the product recently,,--------
138,Kurta Pajama,--------,--------,--------,--------
139,Kurta Pajama,--------,--------,--------,
140,Kurta Pajama,--------,437 people have viewed the product recently,--------,
141,Kurta Pajama,--------,--------,--------,--------
142,Kurta Pajama,,278 people have viewed the product recently,,--------
143,Kurta Pajama,,672 people have viewed the product recently,,
144,Kurta Pajama,,278 people have viewed the product recently,,--------
145,Kurta Pajama,,674 people have viewed the product recently,,--------
146,Kurta Pajama,,124 people have viewed the product recently,,--------
147,Kurta Pajama,,278 people have viewed the product recently,,
148,Kurta Pajama,--------,--------,--------,--------
149,Kurta Pajama,--------,--------,--------,
150,"Kurta, Pant, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Brick Red,--------
151,"Kurta, Palazzo, Stole",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Blush Pink,Powder Blue
152,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Light Green,--------
153,"Kurta, Pant, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Brick Red,--------
154,"Kurta, Pant, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Brick Red,--------
155,"Kurta, Palazzo, Stole",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Blush Pink,Powder Blue
156,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Light Green,--------
157,"Kurta, Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Mustard,--------
158,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Green,Coral
159,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Berry Pink,--------
160,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Green,--------
161,"Kurta, Palazzo",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Blue,--------
162,,--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Black,--------
163,"Kurta, Palazzo, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Mango Yellow,--------
164,"Kurta, Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Pink-Purple,--------
165,"Kurta, Churidar, Dupatta",--------,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Fuschia,Blue
166,"Kurta, Pant, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Yellow,Pink
167,"Kurta, Palazzo, Dupatta",,"When it comes to ethnic wear for women, the only brand that occurs to our mind is Biba. The first ever brand who came up with the idea of ready-made ethnic wear dresses for women. The brand is into retail business of ethnic dresses for a very long time with all India reach. Ethnic wear for women design by Biba is not only presents the impeccable designing but it also shows the evolvement of Indian ethnic dresses in its collection. The brand follows the two seasons of fashion for its launch of ethnic dresses for women.",Dark Red,Dark Blue
