Sno,Country_of_origin,Return_time,Size1,Size2,Size3,Size4,Occassion
463,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
464,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
465,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
466,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
467,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
468,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
469,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
470,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
471,India,30.0,6-9 M,9-12 M,12-18 M,18-24 M,Western wear
472,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
473,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
474,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
475,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
476,India,30.0,1-2Y,2-3Y,3-4Y,5-6Y,Western wear
477,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
478,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
479,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
480,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
481,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
482,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
483,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
484,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
485,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
486,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
487,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
488,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
489,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
490,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
491,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
492,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
493,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
494,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
495,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
496,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
497,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
498,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
499,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
500,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
501,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
502,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
503,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
504,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
505,India,30.0,2-3Y,3-4Y,4-5Y,5-6Y,Western wear
506,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
507,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
508,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
509,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
510,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
511,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
512,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
513,India,30.0,8-9Y,9-10Y,11-12Y,13-14Y,Western wear
514,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
515,India,30.0,3-6 M,6-9 M,9-12 M,12-18 M,Western wear
