Sno,Country_of_origin,Return_time,Size1,Size2,Size3,Size4,Occassion
596,India,14.0,1-2 Y,2-3 Y,3-4 Y,5-6 Y,Casual Wear
597,India,,11-12 Y,13-14 Y,15-16 Y,9-10 Y,Casual Wear
598,India,,2-3 Y,3-4 Y,5-6 Y,7-8 Y,Shirts
599,India,14.0,2-3 Y,3-4 Y,5-6 Y,7-8 Y,Casual Wear
600,--------,,11-12 Y,13-14 Y,15-16 Y,9-10 Y,--------
601,India,14.0,2-3 Y,3-4 Y,5-6 Y,7-8 Y,Casual Wear
602,India,14.0,11-12 Y,13-14 Y,15-16 Y,8-9 Y,Casual Wear
603,India,,2-3 Y,3-4 Y,5-6 Y,7-8 Y,Casual Wear
604,India,,11-12 YEARS,2-3 YR,3-4 YR,5-6 YR,Full Sleeves
605,India,14.0,2-3 Y,3-4 Y,5-6 Y,7-8 Y,Shirts
606,India,,2-3 Y,3-4 Y,5-6 Y,7-8 Y,Casual Wear
607,India,,11-12 Y,13-14 Y,15-16 Y,9-10 Y,Casual Wear
608,India,,2-3 Y,3-4 Y,5-6 Y,7-8 Y,Casual Wear
609,India,,2-3 Y,3-4 Y,5-6 Y,7-8 Y,1
